pais,regio,lifexp,population,gdp
Abkhazia,0,,,
Afghanistan,1,39.61,13505544,
Akrotiri and Dhekelia,0,,,
Albania,0,69.77,2400801,
Algeria,2,55.24,16018195,1632.296018
American Samoa,1,,29897,
Andorra,0,,30967,18607.40954
Angola,2,44.22,6637419,
Anguilla,3,,6630,
Antigua and Barbuda,3,68.99,69420,
Argentina,3,68.6,26078731,7081.660694
Armenia,0,72.33,2825650,
Aruba,3,70.83,60654,
Australia,1,72.81,13889696,13375.55956
Austria,0,71.28,7578498,13244.96435
Azerbaijan,0,66.02,5688997,
Bahamas,3,65.74,188870,11368.41198
Bahrain,1,66.63,265160,
Bangladesh,1,47.58,70582168,236.1923411
Barbados,3,68.17,245646,6379.771482
Belarus,0,71.63,9367004,
Belgium,0,71.9,9787677,13363.53885
Belize,3,67.93,133562,1579.640919
Benin,2,46.93,3182130,279.2924444
Bermuda,3,,54278,34355.58417
Bhutan,1,47.21,363603,
Bolivia,3,50.19,4761344,1087.833428
Bosnia and Herzegovina,0,72.71,3747109,
Botswana,2,57.45,821942,785.8981006
Brazil,3,61.84,108224080,2879.313472
British Virgin Islands,3,,10484,
Brunei,1,69.32,156595,22733.5473
Bulgaria,0,71.11,8720706,
Burkina Faso,2,43,6435274,143.6351636
Burundi,2,44.02,3680401,146.3148368
Cambodia,1,21.69,7097800,
Cameroon,2,52.13,7837926,546.8745512
Canada,3,73.41,23142272,14793.71474
Cape Verde,2,58.3,311349,
Cayman Islands,3,,12764,
Central African Republic,2,47.6,2017362,353.1771385
Chad,2,48.45,4114094,208.9584178
Channel Islands,0,72.41,126335,
Chile,3,65.02,10418880,1889.540331
China,1,60.78,915040954,145.5248126
Christmas Island,1,,,
Cocos Island,1,,,
Colombia,3,65.04,23960605,1744.171693
Comoros,2,51.03,270467,
Congo- Dem. Rep.,2,50.17,23316776,324.6201527
Congo- Rep.,2,54.2,1554793,889.5986099
Cook Is,1,,20356,
Costa Rica,3,70.12,2048812,2825.086163
Cote d'Ivoire,2,49.63,6768313,931.7505003
Croatia,0,69.83,4263294,
Cuba,3,72.18,9420828,2137.222583
Cyprus,0,73.93,649918,3846.251393
Czech Republic,0,70.77,9993206,
Czechoslovakia,0,,14771737,
Denmark,0,74.24,5060227,17417.91937
Djibouti,2,54.85,223963,
Dominica,3,,72092,
Dominican Republic,3,63.75,5146742,1584.624295
East Germany,0,,,
Ecuador,3,61.73,6907740,1218.663667
Egypt,2,55.17,40132189,601.1673142
El Salvador,3,58.36,4231358,2059.498059
Equatorial Guinea,2,42.91,238240,
