pais,gdp,lifexp,population,regio
Abkhazia,,,,0
Afghanistan,,54,32358260,1
Akrotiri and Dhekelia,,,,0
Albania,1965.70723,77.4,3215988,0
Algeria,2255.225482,76.1,35980193,2
American Samoa,,72.6,69543,1
Andorra,,84.7,86165,0
Angola,629.9553062,58.1,19618432,2
Anguilla,,,15645,3
Antigua and Barbuda,9977.957073,75.9,89612,3
Argentina,11601.63022,76,40764561,3
Armenia,1384.085162,73.5,3100236,0
Aruba,,75.19,108141,3
Australia,25306.82494,82.2,22605732,1
Austria,27266.40335,80.7,8413429,0
Azerbaijan,2338.896558,70.8,9306023,0
Bahamas,19466.99052,72.6,347176,3
Bahrain,,78.8,1323535,1
Bangladesh,588.3691778,69.3,150493658,1
Barbados,,75.2,273925,3
Belarus,2890.345675,70.3,9559441,0
Belgium,24733.62696,80.2,10754056,0
Belize,3490.234069,71.2,317928,3
Benin,378.0517915,61.1,9099922,2
Bermuda,,78,65077,3
Bhutan,1445.760002,71.7,738267,1
Bolivia,1276.128614,72.1,10088108,3
Bosnia and Herzegovina,2225.290153,78.2,3752228,0
Botswana,4377.555741,56.5,2030738,2
Brazil,4803.398244,73.8,196655014,3
British Virgin Islands,,,23478,3
Brunei,17301.33869,76.9,405938,1
Bulgaria,2618.876037,74.2,7446135,0
Burkina Faso,285.8030263,59.5,16967845,2
Burundi,140.8125043,60.8,8575172,2
Cambodia,590.4521124,67.6,14305183,1
Cameroon,665.7982328,58.1,20030362,2
Canada,25933.28833,81.6,34349561,3
Cape Verde,2038.880104,71.4,500585,2
Cayman Islands,,,56729,3
Central African Republic,232.623253,48.1,4486837,2
Chad,301.4017086,56.1,11525496,2
Channel Islands,,80.05,153876,0
Chile,7122.938458,78.9,17269525,3
China,2639.54156,74.9,1347565324,1
Christmas Island,,,,1
Cocos Island,,,,1
Colombia,3362.4656,77,46927125,3
Comoros,335.2192351,67.2,753943,2
Cook Is,,,20414,1
Costa Rica,5367.799878,79.9,4726575,3
Cote d'Ivoire,548.2314368,57,20152894,2
Croatia,6270.035718,77.1,4395560,0
Cuba,,77.9,11253665,3
Cyprus,15378.16704,81.1,1116564,0
Czech Republic,7926.938194,77.8,10534293,0
Czechoslovakia,,,,0
Denmark,30860.12808,79.9,5572594,0
Djibouti,,62.5,905564,2
Dominica,6518.659877,73.4,67675,3
Dominican Republic,4176.344375,74.6,10056181,3
East Germany,,,,0
Ecuador,1837.008584,75.3,14666055,3
Egypt,1976.61483,70.4,82536770,2
El Salvador,2579.115607,74.3,6227491,3
Equatorial Guinea,8875.138212,58.7,720213,2
Eritrea,154.8096612,60.2,5415280,2
Eritrea and Ethiopia,,,,2
Estonia,6525.541272,76.3,1340537,0
Ethiopia,229.6769525,62.9,84734262,2
Faeroe Islands,,,48863,0
Falkland Is (Malvinas),,,3027,3
Fiji,2242.689259,65.3,868406,1
Finland,27570.4852,80.3,5384770,0
France,23016.84778,81.6,63125894,0
French Guiana,,76.65,237080,3
French Polynesia,,75.84,273777,1
Gabon,4333.811037,63.3,1534262,2
Gambia,614.9120868,67.1,1776103,2
Georgia,1334.646773,72.2,4329026,0
Germany,26206.54827,80.5,82162512,0
Ghana,402.6953275,63.5,24965816,2
Gibraltar,,,29254,0
Greece,12509.01415,80.5,11390031,0
Greenland,,71.2,57296,0
Grenada,6047.200797,71,104890,3
Guadeloupe,,80.43,463069,3
Guam,,71.5,182111,1
Guatemala,1886.423623,71.6,14757316,3
Guernsey,,,,0
Guinea,394.1156638,58.2,10221808,2
Guinea-Bissau,166.3466549,54.5,1547061,2
Guyana,,65.6,756040,3
Haiti,385.5793827,62.4,10123787,3
Holy See,,,459,0
Honduras,1414.072488,72.2,7754687,3
Hong Kong,37958.23146,83.02,7122187,1
Hungary,5745.981529,75,9966116,0
Iceland,34706.19047,82.9,324366,0
India,837.7464011,65.7,1241491960,1
Indonesia,1206.991065,70.1,242325638,1
Iran,,74.1,74798599,1
Iraq,786.3271857,67.7,32664942,1
Ireland,27715.52837,80.6,4525802,0
Isle of Man,,,83327,0
Israel,22859.67589,81.6,7562194,1
Italy,18937.24998,82,60788694,0
Jamaica,,74.6,2751273,3
Japan,39578.07441,82.6,126497241,1
Jersey,,,,0
Jordan,2588.668961,78.1,6330169,1
Kazakhstan,2629.911409,69.1,16206750,1
Kenya,478.2194906,63.7,41609728,2
Kiribati,715.2906089,62.1,101093,1
North Korea,,71.4,24451285,1
South Korea,16684.21278,80.6,48391343,1
"United Korea (former)
",,,,1
Kosovo,1973.732739,,,0
