pais,gdp,lifexp,regio,population
Congo,109.8093,58.8,2,67.757577
Burundi,140.8125,60.8,2,8.575172
Eritrea,154.8097,60.2,2,5.41528
Guinea-Bissau,166.3467,54.5,2,1.547061
Niger,177.0587,59.6,2,16.068994
Malawi,182.8755,56.6,2,15.380888
Ethiopia,229.6770,62.9,2,84.734262
Central African Republic,232.6233,48.1,2,4.486837
Madagascar,238.1727,62.6,2,21.315135
Mali,272.3094,59.6,2,15.839538
Togo,273.1075,59.6,2,6.154813
Nepal,274.8729,69.3,1,30.485798
Sierra Leone,278.2434,55.6,2,5.997486
Liberia,279.2204,61.5,2,4.128572
Burkina Faso,285.8030,59.5,2,16.967845
Tajikistan,295.3601,70.1,1,6.976958
Chad,301.4017,56.1,2,11.525496
Comoros,335.2192,67.2,2,0.753943
Zimbabwe,347.7457,51.6,2,12.754378
Rwanda,370.5929,65.3,2,10.94295
Benin,378.0518,61.1,2,9.099922
Haiti,385.5794,62.4,3,10.123787
Uganda,392.7088,58.6,2,34.509205
Kyrgyz Republic,393.1915,68.5,1,5.39258
Guinea,394.1157,58.2,2,10.221808
Mozambique,401.5653,54.5,2,23.929708
Ghana,402.6953,63.5,2,24.965816
Zambia,443.9206,53.7,2,13.474959
Timor-Leste,451.9826,71.3,1,1.153834
Tanzania,473.8812,61.7,2,46.218486
Kenya,478.2195,63.7,2,41.609728
Lesotho,518.9841,46.7,2,2.193843
Yemen,528.3987,66.6,1,24.79988
Cote d'Ivoire,548.2314,57,2,20.152894
Senegal,559.9683,64.4,2,12.767556
Sudan,561.8427,66.3,2,34.735288
Nigeria,565.9948,62,2,162.470737
Bangladesh,588.3692,69.3,1,150.493658
Cambodia,590.4521,67.6,1,14.305183
Lao,591.8582,65,1,6.288037
Gambia,614.9121,67.1,2,1.776103
Mauritania,623.3744,68.8,2,3.54154
Angola,629.9553,58.1,2,19.618432
Moldova,635.5065,72.3,0,3.544864
Cameroon,665.7982,58.1,2,20.030362
Pakistan,672.1548,64.9,1,176.745364
Vietnam,757.4009,74.7,0,88.791996
Iraq,786.3272,67.7,1,32.664942
Papua New Guinea,793.1977,59.4,1,7.013829
India,837.7464,65.7,1,1241.49196
Mongolia,893.9924,65.6,1,2.800114
Uzbekistan,992.7614,70.6,1,27.760267
Ukraine,1094.6812,71.1,0,45.19018
Indonesia,1206.9911,70.1,1,242.325638
Solomon Islands,1214.8551,63,1,0.552267
Nicaragua,1221.4920,77.4,3,5.869859
Serbia,1223.6405,75.1,0,9.853969
Congo-Rep.,1266.3561,60.9,2,4.139748
Bolivia,1276.1286,72.1,3,10.088108
Georgia,1334.6468,72.2,0,4.329026
Turkmenistan,1370.4278,68.5,1,5.105301
Armenia,1384.0852,73.5,0,3.100236
Sri Lanka,1402.1217,76.4,1,21.045394
Philippines,1413.3663,70.2,1,94.85203
Honduras,1414.0725,72.2,3,7.754687
Bhutan,1445.7600,71.7,1,0.738267
Paraguay,1657.5832,74,3,6.56829
Swaziland,1813.5449,48,2,1.20333
Ecuador,1837.0086,75.3,3,14.666055
Guatemala,1886.4236,71.6,3,14.757316
Morocco,1908.3044,73.9,2,32.272974
Albania,1965.7072,77.4,0,3.215988
Egypt,1976.6148,70.4,2,82.53677
Cape Verde,2038.8801,71.4,2,0.500585
Bosnia and Herzegovina,2225.2902,78.2,0,3.752228
Fiji,2242.6893,65.3,1,0.868406
